Розділ I. ЖИВІ ТВАРИНИ; ПРОДУКТИ ТВАРИННОГО ПОХОДЖЕННЯ|||||
Група 01. Живі тварини|||||
0101|Коні, віслюки, мули та лошаки, живі:||||
|- коні:||||
0101 21 00 00|- - чистопородні племінні тварини||0|0|шт
0101 29|- - інші:||||
0101 29 10 00|- - - для забою||5|5|шт
0101 29 90 00|- - - інші||5|5|шт
0101 30 00 00|- віслюки||5|5|шт
0101 90 00 00|- інші||5|5|шт
0102|Велика рогата худоба, жива:||||
|- велика рогата худоба:||||
0102 21|- - чистопородні племінні тварини:||||
0102 21 10 00|- - - нетелі (самки великої рогатої худоби до першого отелення)||0|0|шт
0102 21 30 00|- - - корови||0|0|шт
0102 21 90 00|- - - інші||0|0|шт
0102 29|- - інші:||||
0102 29 05 00|- - - підроду Bіbos або підроду Poephagus||5|5|шт
|- - - інші:||||
0102 29 10 00|- - - - масою не більш як 80 кг||5|5|шт
|- - - - масою понад 80 кг, але не більш як 160 кг:||||
0102 29 21 00|- - - - - для забою||5|5|шт
0102 29 29 00|- - - - - інші||5|5|шт
|- - - - масою понад 160 кг, але не більш як 300 кг:||||
0102 29 41 00|- - - - - для забою||5|5|шт
0102 29 49 00|- - - - - інші||15|15|шт
|- - - - масою понад 300 кг:||||
|- - - - - нетелі (самки великої рогатої худоби до першого отелення):||||
0102 29 51 00|- - - - - - для забою||5|5|шт
0102 29 59 00|- - - - - - інші||5|5|шт
|- - - - - корови:||||
0102 29 61 00|- - - - - - для забою||5|5|шт
0102 29 69 00|- - - - - - інші||5|5|шт
|- - - - - інші:||||
0102 29 91 00|- - - - - - для забою||5|5|шт
0102 29 99 00|- - - - - - інші||5|5|шт
|- буйволи:||||
0102 31 00 00|- - чистопородні племінні тварини||0|0|шт
0102 39|- - інші:||||
0102 39 10 00|- - - свійські види||5|5|шт
0102 39 90 00|- - - інші||5|5|шт
0102 90|- інші:||||
0102 90 20 00|- - чистопородні племінні тварини||0|0|шт
|- - інші:||||
0102 90 91 00|- - - свійські види||5|5|шт
0102 90 99 00|- - - інші||5|5|шт
0103|Свині, живі:||||
0103 10 00 00|- чистопородні племінні тварини||0|0|шт
|- інші:||||
0103 91|- - масою менш як 50 кг:||||
0103 91 10 00|- - - свійські види||5|5|шт
0103 91 90 00|- - - інші||5|5|шт
0103 92|- - масою 50 кг або більше:||||
|- - - свійські види:||||
0103 92 11 00|- - - - свиноматки масою не менш як 160 кг, що опоросилися принаймні один раз||8|8|шт
0103 92 19 00|- - - - інші||8|8|шт
0103 92 90 00|- - - інші||8|8|шт
0104|Вівці та кози, живі:||||
0104 10|- вівці:||||
0104 10 10 00|- - чистопородні племінні тварини||0|0|шт
|- - інші:||||
0104 10 30 00|- - - ягнята (віком до одного року)||2|2|шт
0104 10 80 00|- - - інші||2|2|шт
0104 20|- кози:||||
0104 20 10 00|- - чистопородні племінні тварини||2|2|шт
0104 20 90 00|- - інші||2|2|шт
0105|Свійська птиця, тобто кури свійські (Gallus domestіcus), качки, гуси, індики та цесарки, живі:||||
|- масою не більш як 185 г:||||
0105 11|- - кури свійські (Gallus domestіcus):||||
|- - - курчата прабатьківських та материнських ліній племінного виведення:||||
0105 11 11 00|- - - - яєчних порід||0|0|шт
0105 11 19 00|- - - - інші||0|0|шт
|- - - інші:||||
0105 11 91 00|- - - - яєчних порід||0|0|шт
0105 11 99 00|- - - - інші||0|0|шт
0105 12 00 00|- - індики||2|2|шт
0105 13 00 00|- - качки||2|2|шт
0105 14 00 00|- - гуси||2|2|шт
0105 15 00 00|- - цесарки||2|2|шт
|- інші:||||
0105 94 00|- - кури свійські (Gallus domestіcus):||||
0105 94 00 10|- - - курчата племінні 90-120-денні||0|0|шт
0105 94 00 90|- - - інші||10|10|шт
0105 99|- - інші:||||
0105 99 10 00|- - - качки||10|10|шт
0105 99 20 00|- - - гуси||10|10|шт
0105 99 30 00|- - - індики||10|10|шт
0105 99 50 00|- - - цесарки||10|10|шт
0106|Інші тварини, живі:||||
|- ссавці:||||
0106 11 00|- - примати:||||
0106 11 00 10|- - - для зоопарків||0|0|шт
0106 11 00 90|- - - інші||10|10|шт
0106 12 00|- - кити, дельфіни, морські свині (ссавці ряду Сetacea); ламантини та дюгони (ссавці ряду Sіrenіa); тюлені, морські леви та моржі (ссавці підряду Pіnnіpedіa):||||
0106 12 00 10|- - - для зоопарків||0|0|шт
0106 12 00 90|- - - інші||10|10|шт
0106 13 00 00|- - верблюди та інші тварини родини верблюдячих (Camelіdae)||10|10|шт
0106 14|- - кролі та зайці:||||
0106 14 10 00|- - - кролі свійські||10|10|шт
0106 14 90 00|- - - інші||10|10|-
0106 19 00|- - інші:||||
0106 19 00 10|- - - для зоопарків||0|0|-
0106 19 00 90|- - - інші||10|10|-
0106 20 00|- рептилії (включаючи змій і черепах):||||
