id;name;urk_mark;inter_mark;code_soei
1245;Секунда у мінус першому степені на квадратний метр-джоуль-стерадіан;1/(с·м2·Дж·ср);1/(s·m2·J·sr);—
1246;Рентген;Р;R;—
1247;Мілірентген;мР;mR;
1248;Мікрорентген;мкР;R;—
1249;Мілірентген за годину;мР/год;mR/h;—
1250;Мікрорентген за годину;мкР/год;R/h;—
1251;*Кулон на кілограм;Кл/кг;C/kg;1867
1252;Бер (біологічний еквівалент рентгена, рем) (= 0,01 Зв = 100 ерг/г);бер;rem;—
1253;Мілізіверт за годину;мЗв/год;mSv/h;—
1254;Мілізіверт за хвилину;мЗв/хв;mSv/min;—
1255;Мікрозіверт за хвилину;мкЗв/хв;Sv/min;—
1256;Частинка на хвилину-сантиметр квадратний;част/(хв·см2);-;—
1257;Метр у мінус другому степені за секунду;м-2/с;m-2/s;—
13;ФІЗИКА ТВЕРДОГО ТІЛА;;;
1301;Секунда на кубічний метр;с/м3;s/m3;—
1302;Джоуль у мінус першому степені — метр у мінус третьому степені;Дж-1·м-3;J-1·m-3;—
1303;Електрон-вольт у мінус першому степені — метр у мінус третьому степені;еВ-1·м-3;eV-1·m-3;—
1304;Ангстрем у мінус першому степені;-1;-1;—
1305;Вольт у квадраті на кельвін у квадраті;В2/К2;V2/K2;—
1306;Кубічний метр на кулон;м3/Кл;m3/C;—
1307;Вольт на кельвін;В/К;V/K;—
1308;Мілівольт на кельвін;мВ/К;mV/K;—
1309;Ампер на квадратний метр-кельвін у квадраті;А/(м2·К2);A/(m2·K2);—
1310;Джоуль у мінус першому степені на кубічний метр;Дж-1/м3;J-1/m3;—
1311;Секунда на радіан-кубічний метр;с/рад·м3;s/rad·m3;—
14;СІЛЬСЬКЕ ТА ЛІСОВЕ ГОСПОДАРСТВО;;;
1401;Тисяча гектарів;тис.га;—;0062
1402;Мільйон гектарів;млн.га;—;0064
1403;Гектар умовний еталонний;га умов.етал;—;0087
1404;Тисяча гектарів умовних еталонних;тис.га умов. етал;—;0088
1405;Мільйон гектарів умовних еталонних;млн.га умов. етал;—;0089
1406;Центнер з гектара;ц/га;—;1136
1407;Голова;голова;—;0635
1408;Тисяча голів;тис.голів;—;0636
1409;Мільйон голів;млн.голів;—;0637
1410;Умовна голова;умов.голова;—;1131
1411;Голова приплоду;голова приплод;—;1229
1412;Мільйон штук молодняка;млн.шт.молод;—;0789
1413;Птахо-місце;птах.місц;—;0745
1414;Тисяча птахо-місць;тис.птах.місц;—;0746
1415;Мільйон птахо-місць;млн.птах.місц;—;0747
1416;Ското-місце;скот.місц;—;0757
1417;Тисяча ското-місць;тис.скот.місц;—;0758
1418;Мільйон ското-місць;млн.скот.місц;—;0759
1419;Тисяча племінних курей-несучок;тис.плем.кур. несуч;—;1006
1420;Тисяча курей-несучок;тис.кур.несуч;—;0944
1421;Мільйон курей-несучок;млн.кур.несуч;—;1096
1422;Тисяча корів;тис.корів;—;0951
1423;Тисяча вівцематок;тис.вівцематок;—;0952
1424;Умовний трактор (потужністю у 15 к.с.);умов.трактор;—;0767
1425;Умовний еталонний трактор;умов.етал. трактор;—;0768
1426;Тисяча умовних еталонних тракторів;тис.умов.етал. трактор;—;0769
1427;Тисяча кінських сил;тис.к.с.;—;0239
1428;Мільйон кінських сил;млн.к.с.;;0240
1429;Одиниця на кінську силу;одн/к.с.;—;0494
1430;Секція на тисячу кінських сил;секц/тис.к.с.;—;0526
1431;Тисяча тонн комбікормів за добу;тис.т комбік/доб;—;0389
1432;Штука з одного гектара;шт/га;—;0544
1433;Комбайно-день;комб.дн;—;0501
1434;Тисяча тонн забійної маси;тис.т забійн. маси;—;0036
1435;Центнер живої маси;ц жив.маси;—;0180
1436;Тонна живої маси;т жив. маси;—;0181
1437;Тисяча тонн живої маси;тис.т жив.маси;—;0182
1438;Мільйон тонн живої маси;млн.т жив.маси;—;0183
1439;Тонна загального білка;т загал.білка;—;0836
1440;Центнер кормових одиниць;ц корм.одн;—;1018
1441;Тисяча тонн переробки за добу;тис.т перероб/доб;—;0914
1442;Тисяча центнерів переробки за добу;тис.ц перероб/доб;—;0847
1443;Тонна переробки за зміну;т перероб/змін;—;1227
1444;Тонна переробки за добу;т перероб/доб;;0575
1445;Тонна переробки за рік;т перероб/р.;—;0572
1446;Тонна переробки за сезон;т перероб/сез;—;0577
1447;Тисяча тонн переробки за сезон;тис.т перероб/сез;—;0917
1448;Тисяча декалітрів вироблення виноматеріалів за рік;тис.дал вироб вин.матер/р.;—;0585
1449;Тисяча тонн переробки за рік;тис.т перероб/р.;—;0849
1450;Тонна комбікормів за добу;т комбік/доб;—;0926
1451;Тонна переробки;т перероб.;—;0444
1452;Тракторо-день;трактор.дн;—;0535
1453;Кормо-день;кормо.дн;—;0570
1454;Мільйон центнерів кормових одиниць;млн.ц корм.од;—;-
1455;Мільйон тонн кормових одиниць;млн.т корм.од;—;0893
1456;Мільйон голів м’ясної птиці;млн.голів м’ясн.птиц;—;0996
1457;Бджолосім’я;бджсім;—;—
1458;Тисяча бджолосімей;тис.бджсім;—;1255
1459;Тисяча тонн кормових одиниць;тис.т корм.од;—;1254
1460;Кубічний метр деревини у чистоті;м3 дерев.чист;—;1280
1461;Тисяча центнерів;тис.ц;—;0169
15;ГІРНИЦТВО;;;
1501;*Кілограм урану;кг U;—;1903
1502;Стовбур шахти;стов.шахт;—;1045
1503;Потужність дільниці у мільйон тонн;потуж.діл. млн.т;—;1081
1504;Тонна гірської маси за людино-зміну;т гір.маси/люд.змін;—;1201
1505;Тисяча метрів свердловин;тис.м сверд;—;1317
1506;Тисяча кубічних метрів газу за годину;тис.м3 газ/год;—;1324
1507;*Кілограм оксиду калію;кг K2O;—;1895
1508;Метр умовних труб;м умов.труб;—;0558
1509;Кілометр умовних труб;км умов.труб;—;0862
1510;Тисяча кілометрів умовних труб;тис.км умов. труб;—;0863
1511;Мільйон кілометрів умовних труб;млн.км умов. труб;—;0741
1512;Тисяча кілометрів умовних труб діаметром 200 мм;тис.км умов. труб діам 200 мм;—;—
1513;Мільйон кубічних метрів за рік;млн.м3/р.;—;0828
1514;Мільйон тонн умовного палива;млн.т умов.пал;—;0887
1515;Кубічний кілометр;км3;—;1029
1516;Мільйон кубічних метрів за добу;млн.м3/доб;—;1030
1517;Мільйон кубічних метрів газу за годину;млн.м3 газ/год;—;1031
1518;Свердловина;сверд;—;1107
1519;Тонна каталізаторів;т каталіз;—;1215
1520;Тисяча кубічних метрів за годину;тис.м3/год;—;0938
1521;Кілограм пероксиду водню;кг H2O2;—;—
1522;Тисяча тонн за рік;тис.т/р.;—;0919
1523;Водневий показник (pH);pH;pH;—
1524;Тисяча тонн умовного палива;тис.т умов.палива;—;0200
1525;Тисяча тонн широкої фракції;тис.т шир.фр;—;—
1526;Мільйон фізичних тонн;млн.фіз.т;—;0903
1527;*Кілограм азоту;кг N;;1898
1528;*Кілограм гідроокису калію;кг KOH;;1897
1529;*Кілограм гідроокису натрію;кг NaOH;;1900
1530;*Кілограм пойменованої речовини;кг пойменов. реч;;1891
1531;*Кілограм п’ятиокису фосфору;кг P2O5;;—
1532;Кілограм хлорид холіну;кг C5H14CINO;—;—
1533;Тонна металовальцьовання (металопрокату);т мет.вал;—;0203
1534;Тонна кам’яного литва;т кам.лит;—;0042
16;ОБРОБНА ПРОМИСЛОВІСТЬ. ЧАСТИНА 1;;;
1601;Шпуля;шпуля;—;0073
1602;Тисяча шпуль;тис.шпуль;—;1078
1603;Котушка;котуш;—;0664
1604;Тисяча котушок;тис.котуш;—;0665
1605;Тисяча умовних котушок;тис.умов.котуш;—;0666
1606;Мільйон умовних котушок;млн.умов.котуш;—;1075
1607;Моток пряжі;мот.пр;—;0701
1608;Клубок;клуб;—;0706
1609;Тисяча клубків;тис.клуб;—;0707
1610;Веретено;верет;—;0630
1611;Тисяча веретен;тис.верет;—;0631
1612;Мільйон веретен;млн.верет;—;0632
1613;Тисяча прядильних веретен;тис.пряд.верет;—;0562
1614;Тисяча прядильних місць;тис.пряд.місць;—;—
1615;Ткацький верстат;ткац.верст;—;1109
1616;Тисяча кілометрів волокна;тис.км волокн;—;1118
1617;*Пара (2 шт.);пар;—;0715
1618;Тисяча пар;тис.пар;—;0716
1619;Мільйон пар;млн.пар;—;0717
1620;Мільярд пар;млрд.пар;—;0718
1621;Тисяча умовних банок за зміну;тис.умов.бан/змін;—;0916
1622;Мільйон умовних банок за рік;млн.умов.бан/р.;—;0920
1623;Тонна м’яса за зміну;т м’яс/змін;—;0924
1624;Тонна молока за зміну;т молока/змін;—;0925
1625;Тонна штучного формового хліба з оббивного борошна розважуванням 1 кг за добу;т штуч.форм.хліб. з оббивн. бор розв. 1кг/доб;—;0464
1626;Тонна шкідливих речовин за рік;т шкід.реч/р.;—;1327
1627;Тисяча тонн вироблення продукції за рік;тис.т вироб. прод/р.;—;1283
1628;Автомат;автомат;—;1077
1629;Апарат;апарат;—;1342
1630;Горн;горн;—;1403
1631;Дільниця;дільн;—;0395
1632;Завод;завод;—;1050
1633;Круг;круг;—;0686
1634;Тисяча кругів;тис.круг;—;0478
1635;Одиниця устатковання;од.устатк;—;1152
1636;Підприємство;підпр;—;1345
1637;Робоче місце;роб.місц;—;1389
1638;Верстато-година;верст.год;—;0527
1639;Верстато-місяць;верст.міс;—;0528
1640;Верстат;верст;—;1055
1641;Тонна напилюваного металу;т напил.мет;—;0466
1642;*Тонна пари за годину;т пари/год;—;0533
1643;Тисяча тонн пари за годину;тис.т пари/год;—;0909
1644;Тисяча зубців;тис.зуб;—;1001
1645;Тонна тяги;т тяги;—;0019
1646;Цех;цех;—;1051
1647;Цикл;цикл;—;0788
1648;Чарунка;чарун;—;0810
1649;Тисяча чарунок;тис.чарун;—;0811
1650;*Елемент;елем;—;1374
17;ОБРОБНА ПРОМИСЛОВІСТЬ. ЧАСТИНА 2;;;
1701;Знак;зн;—;1170
1702;Тисяча знаків;тис.зн;—;0850
1703;Інтервал (між рядками);інт;—;—
1704;Крок (кількість знаків на дюйм);крок;pitch;—
1705;Піксель (крапка матричного знака);пікс;pixel;—
1706;Пункт (= 1/72 дюйма);п;pt;0961
1707;Нонпарель (6 п);нонпарель;—;—
1708;Петит (8 п);петит;—;—
1709;Корпус (10 п);корп;—;—
1710;Цицеро (12 п);ццр;cicero;—
1711;Півквадрат (24 п);півквадрат;—;—
1712;Квадрат (48 п);квадрат;—;—
1713;Слово;сл;—;1171
1714;Рядок;рд;—;0842
1715;Сторінка;стор;page;—
1716;Аркуш;арк;—;0694
1717;Сто аркушів;100 арк;—;0820
1718;Тисяча аркушів;тис.арк;—;0695
1719;Аркуш авторський (= 40000 зн.);арк.авт;—;0837
1720;Аркуш обліково-видавничий (= 40000 зн.);арк.об.вид;—;0840
1721;Аркуш паперовий;арк.пап;—;0838
1722;Аркуш фізичний друкарський;арк.фіз.др;—;—
1723;Аркуш умовний друкарський;арк.умов.др;—;—
1724;Аркуш друкарський;арк.др;—;0839
1725;Тисяча друкарських аркушів;тис.арк.др;—;1284
1726;Аркуш приведений;арк.прив;—;0832
1727;Аркуш-відбиток;арк.відб;—;—
1728;Мільйон аркушів-відбитків;млн.арк.відб;;0949
1729;Мільйон аркушів-відбитків, приведених до формату 60х90 см;млн.арк. відб. прив. до ф.60х90 см;—;0477
1730;Аркуш набору;арк.наб;—;—
1731;Аркуш опису;арк.оп;—;0822
1732;Тисяча аркушів набору;тис.арк.наб;—;—
1733;Аркуш мікрофіші;арк.мкфш;—;—
1734;Відбиток поліграфічний;відб.полігр;—;1014
1735;Фарбо-відбиток;фарб.відб;—;—
1736;Тисяча фарбо-відбитків;тис.фарб.відб;—;—
1737;Мільйон фарбо-відбитків;млн.фарб.відб;—;0943
1738;Мільйон фарбо-відбитків, приведених до формату 60х90 см;млн.фарб.відб прив. до ф. 60х90 см;—;0476
1739;Зошит;зош;—;0843
1740;Зшиток (газет тощо);зш;—;—
1741;Книга;кн.;—;0684
1742;Тисяча книг;тис.кн.;—;0685
1743;Том;том;—;0766
1744;Секція друкована;секц.др;—;1042
1745;Копія;копія;—;1207
1746;Тека;тека;—;—
1747;Тисяча тек;тис.тек;—;0713
1748;Стопа паперу (= 480 аркушів);стоп.пап;—;—
1749;Смуга газетна;смуг. га;—;—
1750;Шпальта;шп;—;—
1751;Рядок газетної сторінки, надрукованої шрифтом «агат»;рядок газ.стор шр.»агат»;—;—
1752;Слайд;слайд;—;1206
1753;Негатив;нег.;—;1210
1754;Примірник;прим;—;0807
1755;Тисяча примірників;тис.прим;—;0816
1756;Мільйон примірників;млн.прим;—;0808
1757;Мільйон примірників 4-сторінкових газет формату А2;млн.прим.газет ф.А2;—;0480
1758;Тисяча томів книжкового фонду;тис.томів кн. фонд;—;1388
1759;Одиниця зберігання;од.зб;—;—
1760;Тисяча одиниць зберігання;тис.од.зб;—;—
1761;Абонент;абон;—;1112
1762;Відвідування;відвідув;—;—
1763;Постійно діючий запит;ПДЗ;—;—
1764;Метрополиці;м.полиц;—;—
1765;Комплект річний;компл.р.;—;—
1766;Бобіна кінофото;боб.кф;—;0616
1767;Відеорулон (кінофото);відеорул.кф;—;0855
1768;Кадр кінофото;кадр кф;—;1208
1769;Видання періодичне;вид.період;—;—
1770;Карат золотий (= 15,517 г);кар.золот;—;—
1771;Тисяча каратів золотих;тис.кар. золот;—;—
1772;Карат алмазний (= 2,053 мг);кар. алмаз;—;—
1773;*Метричний карат (= 200 мг);кар;car;—
1774;Тисяча каратів метричних;тис.кар;—;—
1775;Каратна проба благородних металів;карат.проба благ.мет;—;0761
1776;Тисяча фарбо-відбитків, приведених до формату 60х90 см;тис.фарб. відб.прив.до ф.60х90 см;—;—
1777;Тисяча аркушів-відбитків, приведених до формату 60х90 см;тис.арк. відб.прив.до ф.60х90 см;—;—
1778;Тисяча примірників 4-шпальтових газет формату А2;тис.прим 4-шп газет ф.А2;—;—
18;ЕЛЕКТРОЕНЕРГЕТИКА. ГАЗО- І ВОДОПОСТАЧАННЯ;;;
1801;Кінська сила за добу;к.с./доб;—;0217
1802;Мільйон кінських сил за добу;млн.к.с./доб;—;1258
1803;Мільйон кінських сил за рік;млн.к.с./р.;—;1257
1804;Тисяча кіловат;тис.кВт;—;0215
1805;Мільйон кіловат;млн.кВт;—;0216
1806;Тисяча кіловат-годин;тис.кВт·год;—;0246
1807;Мільйон кіловат-годин;млн.кВт·год;—;0247
1808;Мільярд кіловат-годин;млрд.кВт·год;—;0248
1809;Калорія за годину;кал/год;—;0495
1810;Кілокалорія за годину;ккал/год;—;0496
1811;Гігакалорія за годину;Гкал/год;—;0571
1812;Тисяча гігакалорій за годину;тис.Гкал/год;—;0497
1813;Стандартна кілокалорія;станд.ккал;—;0554
1814;Стандартна кілокалорія за годину;станд.ккал/год;—;0559
1815;Тисяча стандартних кілокалорій за годину;тис.станд.ккал/год;—;1168
1816;Мільйон гігакалорій;млн.Гкал;—;0908
1817;Тисяча натуральних кіловольт-ампер;тис.нат.кВ·А;—;0906
1818;Тисяча натуральних кіловольт-ампер реактивних;тис.нат.кВ·А реак;—;0907
1819;Тисяча кіловольт-ампер реактивних;тис.кВ·А реак;—;0232
1820;Мільйон кіловольт-ампер реактивних;млн.кВт·А реак;—;0233
1821;Тисяча робочих кілокалорій за годину;тис.роб.ккал/год;—;0565
1822;Тисяча кубічних метрів стічних вод за добу;тис.м3 стіч. вод/доб;—;0929
1823;Тисяча кубічних метрів обігової води за добу;тис.м3 обіг. вод/доб;—;1326
1824;Кілометр водоводу та мережі;км водов.мереж;—;1382
1825;Кілометр колектора та мережі;км колект.мереж;—;1383
1826;Кілометр мережі газифікації;км мереж.газиф;—;1384
1827;Кубічний метр на тисячу жителів;м3/тис.жит;—;0668
1828;*Ефективна потужність;еф.потуж;;1853
1829;Ват-година на оберт;Вт·год/об;W·h/r;—
1830;Вар-година на оберт;вар·год/об;var·h/r;—
1831;Оберт на кіловат-годину;об/кВт·год;r/kW·h;—
1832;Оберт на кіловар-годину;об/квар·год;r/kvar·h;—
1833;Відсоток на 1 °C;%/°C;%/°C;—
1834;Кіловат-година на поділку;кВт·год/поділку;kW·h/point;—
1835;Мегават-година на поділку;МВт·год/ поділку;MW·h/point;—
1836;Децибел-ампер;дБ·А;dB·A;—
19;БУДІВНИЦТВО;;;
1901;Квадратний метр житлової площі;м2житл.площ;—;0071
1902;Тисяча квадратних метрів житлової площі;тис.м2 житл. площ;—;0072
1903;Мільйон квадратних метрів житлової площі;млн.м2 житл. площ;—;0968
1904;Тисяча квадратних метрів підлоги;тис.м2 підл;—;0067
1905;Квадратний метр загальної площі;м2 заг.площ;—;0077
1906;Тисяча квадратних метрів загальної площі;тис.м2 заг. площ;—;0078
1907;Мільйон квадратних метрів загальної площі;млн.м2 заг. площ;—;0066
1908;Тисяча квадратних метрів покриття;тис.м2 пок;—;1093
1909;Квадратний метр покриття будівлі;м2 пок.буд;—;0101
1910;Тисяча квадратних метрів покриття будівлі;тис.м2 пок.буд;—;0824
1911;Панель;панел;—;0851
1912;Тисяча панелей;тис.панел;—;1267
1913;Тисяча квадратних метрів покрівельної поверхні;тис.м2 покрів. поверх;—;0074
1914;Квартира;кварт;—;1337
1915;Тисяча квартир;тис.кварт;—;0940
1916;Комплекс;комп;—;0670
1917;Штука умовних блоків;шт.умов.блок;—;0803
1918;Тисяча штук умовних блоків;тис.шт.умов.блок;—;0841
1919;Мільйон штук умовних блоків;млн.шт.умов.блок;—;1150
1920;Тисяча штук умовної цегли;тис.шт.умов. цегл;—;0804
1921;Мільйон штук умовної цегли;млн.шт.ум.цегл;—;0805
1922;Тисяча штук стандартної умовної цегли;тис.шт.стан.умов.цегл;—;1871
1923;Тонна моноблоків;т монобл;—;1084
1924;Квадратний метр покрівельної поверхні;м2 покрів.поверх;—;0130
1925;Приведений ремонт;прив.рем;—;0470
1926;Кубічний метр охолоджуваного будівельного об’єму;м3 охл.буд. об’єму;—;0471
1927;Тисяча кубічних метрів плит;тис.м3 плит;—;1273
1928;Тисяча фарбопрогонів;тис.фарб.прог;—;—
1929;Кількість будівель;кільк.буд;—;—
1930;Рама;рам;—;1161
1931;Тисяча рам;тис.рам;—;0953
20;ОПТОВА ТА РОЗДРІБНА ТОРГІВЛЯ. ЧАСТИНА 1;;;
2001;Комора;комор;;1053
2002;Тисяча штук виробів;тис.шт.вироб;—;0483
2003;Мільйон штук виробів;млн.шт.вироб;—;1058
2004;Трильйон штук виробів;трлн.шт.вироб;—;—
2005;Мільярд комплектів;млрд.компл;—;0675
2006;Партія;партія;—;0720
2007;Тонна товарної риби;т тов.риб;—;0548
2008;Тонн товарного продукту;т тов.продукт;—;0897
2009;*Штука;шт;—;0796
2010;Десять штук;10 шт;—;0783
2011;*Дюжина штук;дюж.шт;—;1880
2012;*Сто штук;100 шт;—;0797
2013;*Тисяча штук;тис.шт;—;0798
2014;*Мільйон штук;млн.шт;—;0799
2015;*Мільярд штук;млрд.шт;—;0800
2016;Умовна штука;умов.шт;—;0801
2017;Тисяча умовних штук;тис.умов.шт;—;0802
2018;Мільйон умовних штук;млн.умов.шт;—;0749
2019;Штука на тисячу мешканців;шт/тис.мешк;—;0618
2020;Штука на десять тисяч мешканців;шт/дес.тис. мешк;—;—
2021;Кількість назв;кільк.назв;—;1140
2022;Кубічний метр місткості;м3 містк;—;0133
2023;Тисяча кубічних метрів місткості;тис.м3 містк;—;—
2024;Складський кубічний метр;склад.м3;—;0138
2025;Кілограм місткості;кг містк;—;0174
2026;Тонна місткості;т містк;—;1314
2027;Бочка;бочк;—;0621
2028;Бочонок;бочон;—;—
2029;Квадратний метр на тонну;м2/т;m2/t;—
2030;Тисяча квадратних метрів складської площі;тис.м2 склад. площ;—;0885
2031;Ампула;ампул;—;0601
2032;Тисяча ампул;тис.ампул;—;0602
2033;Мільйон ампул;млн.ампул;—;0603
2034;Балон;балон;—;0604
2035;Тисяча балонів;тис.балон;—;0605
2036;Мільйон балонів;млн.балон;—;0606
2037;Тисяча умовних балонів;тис.умов.балон;—;—
2038;Мільйон умовних балонів;млн.умов.балон;—;—
2039;Банка;банк;—;0607
2040;Мільйон банок;млн.банк;—;0609
2041;Тисяча банок;тис.банк;—;0608
2042;Умовна банка;умов.банк;—;0610
2043;Тисяча умовних банок;тис.умов.банк;—;0611
2044;Мільярд умовних банок;млрд.умов.банк;—;0613
2045;Мільйон умовних банок;млн.умов.банк;—;0612
2046;Бутель;бутель;—;—
2047;Короб картонний;короб карт;—;1384
2048;Каністра;каністр;—;0663
2049;Контейнер;конт;—;0676
2050;Тисяча контейнерів;тис.конт;—;0677
2051;Банка консервна;банк.консерв;—;—
2052;Коробка;кор;—;0681
2053;Тисяча коробок;тис.кор;—;0682
2054;Мільйон коробок;млн.кор;—;0683
2055;Бочка дерев’яна;бочк. дерев;;—
2056;Бочка металева на 10 кг;бочк.метал. 10 кг;—;—
2057;Бочка металева;бочк.метал;—;—
2058;Бочка металева на 15 кг;бочк.метал. 15 кг;—;—
2059;Бочка металева на 115 кг;бочк.метал. 115 кг;—;—
2060;Мішок;міш;—;0823
2061;Пляшка;пляш;—;0622
2062;Тисяча пляшок;тис.пляш;—;0623
2063;Мільйон пляшок;млн.пляш;—;0624
2064;Тисяча пляшок у переведенні на пляшки місткістю 0,8 літра;тис.пляш.перев пляш. 0,8 л;—;0835
2065;Мільйон пляшок за рік;млн.пляш./р.;—;0854
2066;Мільйон півлітрів;млн.півл;—;0856
2067;Тонна фасовки за добу;т фасов/доб;—;1228
2068;Тисяча штук у 200-літровому обчисленні;тис.шт.200 л обчисл;—;0431
2069;Тисяча штук у 50-літровому обчисленні;тис.шт.50 л обчисл;—;0432
2070;Флакон;флак;—;0784
2071;Тисяча флаконів;тис.флак;—;0785
2072;Мільйон флаконів;млн.флак;—;0786
2073;Цистерна;цистерн;—;0790
2074;Умовна цистерна;умов.цистерн;—;0791
2075;Ящик;ящ;—;0812
2076;*Сто ящиків;100 ящ;—;1872
2077;Тисяча ящиків;тис.ящ;—;0813
2078;Мільйон ящиків;млн.ящ;—;0814
2079;Умовний ящик;умов.ящ;—;0563
2080;Тисяча умовних ящиків;тис.умов.ящ;—;0958
2081;Барабан;барабан;—;0614
2082;*Бобіна;боб;—;0616
2083;Тисяча бобін;тис.боб;—;617
2084;Бухта;бухт;—;—
2085;Тисяча бухт;тис.бухт;—;1033
2086;Кипа;кипа;—;667
2087;*Літр чистого спирту;л чист.спирт;;1888
2088;*Гектолітр чистого спирту;гл чист.спирт;—;1889
21;ОПТОВА ТА РОЗДРІБНА ТОРГІВЛЯ. ЧАСТИНА 2;;;
2101;Тисяча наборів;тис.набор;—;479
2102;*Паковання;паков;—;778
2103;*Сто паковань;100 паков;—;1882
2104;Тисяча паковань;тис.паков;—;779
2105;Мільйон паковань;млн.паков;—;760
2106;Тисяча умовних паковань;тис.умов.паков;—;—
2107;Мільйон умовних паковань;млн.умов.паков;—;1151
2108;*Дюжина паковань;дюж.паков;—;1881
2109;Пакувальне місце;пакув.місц;—;1163
2110;Пакунок;пак;—;719
2111;Тисяча пакунків;тис.пак;—;196
2112;Пачка;пач;—;728
2113;Тисяча пачок;тис.пач;—;729
2114;Мільйон пачок;млн.пач;—;702
2115;Тисяча пучків;тис.пуч;—;1281
2116;*Рулон;рул;—;750
2117;*Дюжина рулонів;дюж.рул;—;1878
2118;Мільйон рулонів;млн.рул;—;765
2119;Склад;склад;—;1012
2120;Тюбик;тюб;—;777
2121;Тисяча тюбиків;тис.тюб;—;484
2122;Моток;мот;—;701
2123;Набір (товару);набір;—;704
2124;*Драхма торговельна (= 1,77184 г);драх.т;dm;—
2125;*Драхма аптекарська та тройська (= 3,88793 г);"драх.ап
драх.тр";dm ap,dm tr;—
2126;*Фунт аптекарський та тройський (= 0,3732417 кг);"фнт.ап
фнт.тр";lp ap, lp tr;1852
2127;*Грос (= 144 шт);грос;;638
2128;*Великий грос (= 12 гросів);вел.грос;;1874
2129;*Гектограм (= 100 г);гг;hg;1828
2130;*Гектокілограм (= 100 кг);гкг;hkg;—
2131;*Гектометр (= 100 м);гм;hm;1802
2132;*Два десятки;два дес;;1873
2133;*Десять пар;10 пар;;1875
2134;*Децитонна (= 100 кг);дт;dt;—
2135;*Джиль (амер.) (= 0,118294 дм3);джл (амер.);;—
2136;* Дюжина (= 12 штук);дюжина;;641
2137;*Дюжина пар;дюжина пар;;1876
2138;*Квартер (англ.) (= 12,7006 кг = 28 фунтів);квартер;qr;1841
2139;*Квінтильйон штук;квінт.шт;;1885
2140;*Корд (= 3,63 м3);корд;;1826
2141;*Короткий стандарт (= 7200 сірників);кор. стандарт;;1879
2142;*Мегаметр;Мм;Mm;1801
2143;*Міжнародна одиниця;міжн.одн;;650
2144;*Сто міжнародних одиниць;100 міжн.одн;;1894
2145;*Мільйон міжнародних одиниць;млн.міжн.одн;;—
2146;*Міцність спирту за масою;міцн.спирт. мас;;1886
2147;*Пінта (англ.) (= 0,568262 дм3);пінта;;1811
2148;*Сантиграм (= 0,01 г);сг;cg;1830
2149;*Стандарт;стандарт;;1825
2150;*Сто листів;100 лст;;—
2151;*Стоун (англ.) (= 6,350293 кг);стоун;;1840
2152;*Тисяча борд футів (= 2,36 м3);тис.борд фт;;—
2153;*Тисяча кубічних метрів за добу;тис.м3/доб;;997
2154;*Центал (англ.) (= 45,359237 г);центал;ctl;—
2155;*Грам подільних ізотопів;г поділ.ізотоп;;1862
2156;Тисяча рулонів;тис.рул;—;751
22;ТРАНСПОРТ. ЧАСТИНА 1;;;
2201;Тонна вантажопідйомності;т вантажопідйом;—;39
2202;Тонна чистої вантажопідйомності;т чист.вантажопідйом;—;190
2203;Умовна тонна;умов.т;—;192
2204;Тисяча умовних тонн;тис.умов.т;—;193
2205;Мільйон умовних тонн;млн.умов.т;—;194
2206;Вагоно-день;ваг.дн;—;393
2207;Тисяча вагоно-днів;тис.ваг.дн;;—
2208;Вагоно-кілометр;ваг.км;;—
2209;Тисяча вагоно-кілометрів;тис.ваг.км;—;394
2210;Вагоно-година;ваг.год;—;400
2211;Тисяча вагоно-годин;тис.ваг.год;;—
2212;Контейнеро-кілометр;конт.км;;401
2213;Тисяча контейнеро-кілометрів;тис.конт.км;;—
2214;Локомотиво-кілометр;лок.км;—;402
2215;Мільйон локомотиво-кілометрів;млн.лок.км;—;—
2216;Локомотиво-година;лок.год;—;404
2217;Пасажиро-кілометр;пас.км;—;414
2218;Тисяча пасажиро-кілометрів;тис.пас.км;—;415
2219;Мільйон пасажиро-кілометрів;млн.пас.км;—;416
2220;Мільярд пасажиро-кілометрів;млрд.пас.км;—;417
2221;Пасажиро-кілометр на місце;пас.км/місц;—;418
2222;Пасажиро-кілометр на пасажиро-місце;пас.км/пас. місц;—;419
2223;Пасажир на пасажиро-місце;пас/пас.місц;—;420
2224;Пасажиро-місце;пас.місц;—;421
2225;Тисяча пасажиро-місць;тис.пас.місц;—;422
2226;Пасажиро-місце-кілометр;пас.місц.км;—;423
2227;Пасажиро-місце-доба;пас.місц.доб;—;425
2228;Потяго-кілометр;потяг.км;—;428
2229;Потяго-година;потяг.год;—;429
2230;Мільйон тепловозо-кілометрів;млн.тепловоз. км;—;433
2231;Тисяча тонно-кілометрів;тис.ткм;—;450
2232;Мільйон тонно-кілометрів;млн.ткм;—;451
2233;Мільярд тонно-кілометрів;млрд.ткм;—;452
2234;Тисяча брутто-тонно кілометрів;тис.брутто ткм;—;454
2235;Мільйон брутто-тонно кілометрів;млн.брутто ткм;—;455
2236;Мільярд брутто-тонно кілометрів;млрд.брутто ткм;—;456
2237;Тонно-кілометр приведений;ткм привед;—;457
2238;Тисяча тонно-кілометрів приведених;тис.ткм привед;—;458
2239;Мільярд тонно-кілометрів приведених;млрд.ткм привед;—;1248
